,Clip,Frame,IP,Selection,Label,Correct
1,Danny_Standing_clip6,48,65.31.180.86,1B,1B,True
2,Danny_Standing_clip6,48,174.50.86.53,1B,1B,True
3,Danny_Standing_clip6,48,166.137.252.96,1B,1B,True
4,Danny_Standing_clip6,48,73.174.148.148,1B,1B,True
5,Danny_Standing_clip6,48,73.110.34.66,1B,1B,True
6,Danny_Standing_clip6,48,98.235.134.55,1B,1B,True
7,Danny_Standing_clip6,48,73.139.146.195,1B,1B,True
8,Danny_Standing_clip6,48,75.164.34.213,1B,1B,True
9,Danny_Standing_clip6,48,68.96.169.162,2B,1B,False
10,Danny_Standing_clip6,48,74.220.142.146,1B,1B,True
11,Danny_Standing_clip6,48,104.11.61.83,1B,1B,True
12,Danny_Standing_clip6,48,157.51.231.246,1B,1B,True
13,Danny_Standing_clip6,48,71.229.185.191,1B,1B,True
14,Danny_Standing_clip6,48,137.97.83.189,1B,1B,True
15,Danny_Standing_clip6,48,157.50.94.146,1B,1B,True
16,Danny_Standing_clip6,48,71.105.180.164,1B,1B,True
17,Danny_Standing_clip6,48,173.88.65.163,1B,1B,True
18,Danny_Standing_clip6,48,142.196.129.55,1B,1B,True
19,Danny_Standing_clip6,48,153.91.61.183,1B,1B,True
20,Danny_Standing_clip6,48,96.91.176.162,1B,1B,True
21,Danny_Standing_clip6,48,208.66.88.198,1B,1B,True
22,Danny_Standing_clip6,48,24.175.68.0,1B,1B,True
24,Danny_Standing_clip3,48,65.31.180.86,1R,1R,True
25,Danny_Standing_clip3,48,174.50.86.53,3B,1R,False
26,Danny_Standing_clip3,48,73.174.148.148,1R,1R,True
27,Danny_Standing_clip3,48,73.110.34.66,1R,1R,True
28,Danny_Standing_clip3,48,98.235.134.55,1R,1R,True
29,Danny_Standing_clip3,48,98.235.134.55,1R,1R,True
30,Danny_Standing_clip3,48,73.148.231.128,1R,1R,True
31,Danny_Standing_clip3,48,73.139.146.195,1R,1R,True
32,Danny_Standing_clip3,48,75.164.34.213,1R,1R,True
33,Danny_Standing_clip3,48,68.96.169.162,1R,1R,True
34,Danny_Standing_clip3,48,157.51.231.246,1R,1R,True
35,Danny_Standing_clip3,48,71.8.86.183,1R,1R,True
36,Danny_Standing_clip3,48,71.229.185.191,1R,1R,True
37,Danny_Standing_clip3,48,97.103.24.42,1R,1R,True
38,Danny_Standing_clip3,48,24.20.124.0,1R,1R,True
39,Danny_Standing_clip3,48,137.97.83.189,1R,1R,True
40,Danny_Standing_clip3,48,173.2.201.11,1R,1R,True
41,Danny_Standing_clip3,48,71.105.180.164,1R,1R,True
42,Danny_Standing_clip3,48,216.110.214.42,1R,1R,True
43,Danny_Standing_clip3,48,157.51.231.246,1R,1R,True
44,Danny_Standing_clip3,48,96.91.176.162,1R,1R,True
45,Danny_Standing_clip3,48,192.3.231.20,1R,1R,True
46,Danny_Standing_clip3,48,24.175.68.0,1R,1R,True
48,Danny_Standing_clip5,60,65.31.180.86,2B,2B,True
49,Danny_Standing_clip5,60,174.50.86.53,2B,2B,True
50,Danny_Standing_clip5,60,166.137.252.96,1B,2B,False
51,Danny_Standing_clip5,60,73.148.231.128,2B,2B,True
52,Danny_Standing_clip5,60,73.139.146.195,2B,2B,True
53,Danny_Standing_clip5,60,75.164.34.213,2B,2B,True
54,Danny_Standing_clip5,60,74.220.142.146,2B,2B,True
55,Danny_Standing_clip5,60,104.11.61.83,2B,2B,True
56,Danny_Standing_clip5,60,157.51.231.246,2B,2B,True
57,Danny_Standing_clip5,60,71.8.86.183,2B,2B,True
58,Danny_Standing_clip5,60,97.103.24.42,2B,2B,True
59,Danny_Standing_clip5,60,24.20.124.0,2B,2B,True
60,Danny_Standing_clip5,60,173.2.201.11,2B,2B,True
61,Danny_Standing_clip5,60,157.50.94.146,1B,2B,False
62,Danny_Standing_clip5,60,71.105.180.164,2B,2B,True
63,Danny_Standing_clip5,60,216.110.214.42,2B,2B,True
