Clip Label
Shira_Sitting_clip0 3G
Shira_Sitting_clip1 1W
Shira_Sitting_clip2 3B
Shira_Sitting_clip3 4W
Shira_Sitting_clip4 4R
Shira_Sitting_clip5 2B
Shira_Sitting_clip6 2R
Shira_Sitting_clip7 3W
Shira_Sitting_clip8 4B
Shira_Sitting_clip9 2G
Shira_Sitting_clip10 1B
Shira_Sitting_clip11 1G
Shira_Sitting_clip12 3R
Shira_Sitting_clip13 4G
Shira_Sitting_clip14 2W
Shira_Sitting_clip15 1R
Shira_Standing_clip0 2R
Shira_Standing_clip1 4R
Shira_Standing_clip3 2B
Shira_Standing_clip4 2W
Shira_Standing_clip5 4G
Shira_Standing_clip6 3B
Shira_Standing_clip7 4W
Shira_Standing_clip8 1W
Shira_Standing_clip9 3G
Shira_Standing_clip10 1G
Shira_Standing_clip11 1R
Shira_Standing_clip12 4B
Shira_Standing_clip13 1B
Shira_Standing_clip14 3W
Shira_Standing_clip15 2G
Danny_Standing_clip1 3R
Danny_Standing_clip2 3G
Danny_Standing_clip3 1R
Danny_Standing_clip4 1W
Danny_Standing_clip5 2B
Danny_Standing_clip6 1B
Tao_Sitting_clip0 2G
Tao_Sitting_clip1 4G
Tao_Sitting_clip2 1R
Tao_Sitting_clip3 3R
Tao_Sitting_clip4 1G
Tao_Sitting_clip5 4W
Tao_Sitting_clip6 3G
Tao_Sitting_clip7 2W
Tao_Sitting_clip8 1W
Tao_Sitting_clip9 3B
Tao_Sitting_clip10 2R
Tao_Sitting_clip11 4R
Tao_Sitting_clip12 3W
Tao_Sitting_clip13 4B
Tao_Sitting_clip14 1B
Tao_Sitting_clip15 2B
Tao_Standing_clip0 1W
Tao_Standing_clip1 2B
Tao_Standing_clip2 2G
Tao_Standing_clip3 4B
Tao_Standing_clip4 4R
Tao_Standing_clip5 3R
Tao_Standing_clip6 1G
Tao_Standing_clip7 3G
Tao_Standing_clip8 3W
Tao_Standing_clip9 2R
Tao_Standing_clip10 1B
Tao_Standing_clip11 3B
Tao_Standing_clip12 1R
Tao_Standing_clip13 2W
Tao_Standing_clip14 4W
Tao_Standing_clip15 4G
